Week,Business,Message,Email_Type,Delivered,Opened,Clicked,Unsubscribed
2,Homeware,ENTS_Xbox_15_02_02_039,Trade,52505,15579,1514,103
2,Homeware,ENTS_Xbox_R_15_02_06_039,Trade,43946,12797,1233,43
2,Homeware,Game_batlefield_15_02_04_039,Trade,41067,10161,1113,193
2,Homeware,GARDEN_R_15_02_04_019,Trade,17850,6535,2607,24435
2,Homeware,NWL_DIRACT_15_02_4_011,Inform,875229,226865,37915,4873
2,Homeware,NWL_FOLLOW_UP_15_02_01_146,Inform,103871,63670,9819,2312
2,Homeware,NWL_G123_15_02_05_275,Inform,3054058,923617,93571,11069
2,Homeware,NWL_G123DSbaner_15_02_5_275,Inform,28449,8060,981,303
2,Homeware,TOYS_15_02_04_352,Trade,190700,54364,14678,7957
2,Grocery,BABY_15_2_5_672,Trade,33563,8093,489,10917
2,Grocery,CCB_ST_SPEND_15_2_1_670,Trade,155694,92021,8558,3154
2,Grocery,CNC_NEWSTOR_15_02_7_610,Inform,7681,2260,221,19138
2,Grocery,CNC_NEWSTORE_15_02_7_612,Inform,5495,1410,130,215
2,Grocery,LAPSERS_15_2_5_602,Trade,310117,89975,10608,915
2,Grocery,MOTHERS_DAY_15_2_2_682,Inform,255507,68318,6662,159
2,Grocery,NOWCHER_15_2_4_634,Trade,185280,56978,3261,50
2,Grocery,PASSOVER_15_2_1_606,Trade,5736,2253,846,65
2,Grocery,RF_SOULS_ACT_15_02_6_624,Trade,653780,223222,33868,78
2,Grocery,RNS_15_2_5_603,Trade,397478,160675,25896,29
2,Grocery,SO_15_02_02_WEC_633,Trade,4801,2045,238,0
2,Grocery,SO_15_02_04_WEC_633,Trade,1355,558,35,0
2,Grocery,ST_PATRICKS_DAY_15_2_4_634,Inform,6608,1914,206,67
2,Grocery,C_GRY_ATRISK_15_02_05,Inform,800,530,550,6
2,Grocery,C_GRY_DS_BENEFITS_15_02_05,Inform,859,497,72,0
2,Grocery,C_WIN_CRM_FTS_15_02_04,Trade,478,261,68,4
2,Grocery,C_WIN_CRM_INTRO_15_02_04,Trade,14106,2883,423,38
2,Grocery,TC_GRY_CRM_SLP_EC_15_02_01,Trade,43027,16593,1527,209
2,Grocery,TC_GRY_CRM_SLP_EC_15_02_05,Trade,17625,7105,689,75
2,Grocery,TC_GRY_CRM_SLP_WEC_15_02_01,Trade,25852,6266,331,18742
2,Grocery,TC_GRY_CRM_SLP_WEC_15_02_05,Trade,27896,6479,373,16923
2,Grocery,TCGRY_CRM_EN2A_15_02_05,Trade,12658,4129,398,239
2,Grocery,TCGRY_CRM_EN2B_15_02_02,Trade,7287,2251,406,4494
2,Grocery,TCGRY_CRM_EN2B_15_02_05,Trade,3946,1346,209,7069
2,Grocery,TCGRY_CRM_EN3_15_02_02,Trade,7742,3094,299,1673
2,Grocery,TCGRY_CRM_EN3_15_02_05,Trade,6611,2501,252,13384
2,Grocery,TCGRY_CRM_RNSA_15_02_02,Trade,10087,2809,270,180
2,Grocery,TCGRY_CRM_RNSA_15_02_05,Trade,10600,2630,232,1857
2,Grocery,TCGRY_CRM_RNSB_15_02_05,Trade,9760,2605,299,916
2,Grocery,LAST_CHANCE_15_02_01_083,Trade,266933,92346,25338,75
2,Grocery,MAR_MAG_15_02_01_082,Inform,14390,6634,2652,71
2,Grocery,WOTW_RED_15_02_05_147,Trade,104972,38164,10016,104
2,Grocery,WOW_WHITE_15_02_05_147,Trade,103155,36323,10432,78
2,Clothing,CLO_15_02_07_WKND,Trade,448796,158166,22300,0
2,Clothing,CLO_15_02_04_TREND,Trade,330578,131509,40527,0
2,Clothing,CLO_15_02_04_WELCOME2,Inform,2591,1960,325,0
2,Clothing,CLO_15_02_02_TRADE_WOMEN,Trade,232477,113167,24907,0
2,Clothing,CLO_15_02_02_TRADE_MEN,Trade,48672,23338,4756,0
2,Clothing,CLO_15_02_02_TRADE_KIDS,Trade,102009,32430,4289,0
2,Clothing,CLO_15_02_02_TRADE_GENERIC,Trade,238317,86680,12137,0
2,Clothing,CLO_15_02_01_WELCOME1,Inform,2291,1709,304,0
3,Clothing,CLO_ROI_ACQ_15_03_01,Trade,63514,17398,5062,0
3,Clothing,CLO_ROI_TRADE_15_03_01,Trade,13857,3820,1779,0
3,Clothing,ABASKET_15_03_01_286,Trade,1778,704,180,0
3,Clothing,ABASKET_15_03_02_286,Trade,790,268,51,0
3,Clothing,ABASKET_15_03_05_286,Trade,1488,677,176,0
3,Clothing,ACQ_INSTORE_15_03_06_382,Trade,304850,53994,7377,1806
3,Clothing,ACQ_OPN_CLK_15_03_06_385,Trade,469704,207262,82868,13776
3,Homeware,ABASKET_15_03_01_902,Trade,788,419,78,0
3,Homeware,BNB_LAP_15_03_01_379,Trade,671,302,107,0
3,Homeware,BNB_LAP_15_03_02_379,Trade,172,64,28,0
3,Homeware,BNB_LAP_15_03_04_379,Trade,522,215,61,0
3,Homeware,BNB_TAB_15_03_01_378,Trade,1180,560,185,0
3,Homeware,BNB_TAB_15_03_02_378,Trade,261,92,33,0
3,Homeware,BNB_TAB_15_03_04_378,Trade,911,411,120,126
3,Homeware,Ents_Games_15_03_05_039,Trade,12238,3561,221,18
3,Homeware,GARDEN_R_15_03_2_019,Trade,2581,504,216,38
3,Homeware,MixedElec_15_03_05_366,Trade,142137,39070,4577,11
3,Homeware,NWL_CLEAR_G1_15_03_2_314,Inform,524589,230092,66399,60
3,Homeware,NWL_DIRACT_15_03_4_011,Inform,1172654,281250,33448,22
3,Homeware,NWL_FOLLOW_UP_15_03_01_146,Inform,213730,138101,12951,61
3,Homeware,NWL_G123_15_03_05_275,Inform,3611792,1135668,101380,11
3,Homeware,NWL_G123DSbaner_15_03_5_275,Inform,33881,12352,1455,43
3,Homeware,TOYS_15_03_05_016,Trade,57663,15973,1148,39
3,Homeware,TradeSquaInstor_15_03_01_366,Trade,4170,1142,32,28
3,Homeware,TradeSquaOnline_15_03_01_366,Trade,4555,1590,38,93
3,Grocery,ASIAN_FOOD_15_3_2_682,Trade,25719,9497,2393,111
3,Grocery,CCB_ST_SPEND_15_3_1_670,Trade,22047,9136,1180,36
3,Grocery,EASTER_EGG_15_3_5_606,Inform,39150,10680,1358,21075
3,Grocery,EASTER_EGG_R_15_3_7_606,Inform,18914,5534,886,2894
3,Grocery,LAPSERS_R_15_3_4_602,Trade,202320,55542,9661,4766
3,Grocery,PETS_EMAIL_15_3_4_680,Trade,31929,8923,878,187
3,Grocery,POLISH_EASTER_15_3_2_682,Trade,10835,3281,554,20531
3,Grocery,RNS_R_15_3_4_603,Trade,10821,2280,793,14138
3,Grocery,RUGBY_15_3_5_682,Trade,15592,4158,148,5989
3,Grocery,SO_15_03_01_WEC_633,Trade,1014,398,65,0
3,Grocery,SO_15_03_04_WEC_633,Trade,2330,890,62,189
3,Grocery,SO_15_03_05_WEC_633,Trade,1403,598,42,0
3,Grocery,C_WIN_CRM_FTS_15_03_04,Trade,282,124,22,63
3,Grocery,C_WIN_CRM_INTRO_15_03_04,Trade,14038,2969,416,81
3,Grocery,TCGRY_CRM_EN2A_15_03_02,Trade,8538,2656,229,87
3,Grocery,TCGRY_CRM_EN2A_15_03_05,Trade,5015,1680,168,68
3,Grocery,TCGRY_CRM_EN2B_15_03_05,Trade,11473,3408,527,48
3,Grocery,TCGRY_CRM_EN3_15_03_02,Trade,6345,2427,227,0
3,Grocery,TCGRY_CRM_EN3_15_03_05,Trade,5768,2075,201,41
3,Grocery,TCGRY_CRM_RNSA_15_03_02,Trade,6361,1876,167,102
3,Grocery,TCGRY_CRM_RNSA_15_03_05,Trade,9391,2307,213,36
3,Grocery,TCGRY_CRM_RNSB_15_03_02,Trade,8747,2409,274,43
3,Grocery,TCGRY_CRM_RNSB_15_03_05,Trade,9462,2373,243,12
3,Grocery,ACQ_1000CC_15_03_04_161,Trade,19991,6263,1970,13
3,Grocery,ACQ_10OFF_15_03_04_161,Trade,19988,6649,2582,40
3,Grocery,FINEST_DEALS_15_03_01_083,Trade,274690,94649,28256,86
3,Grocery,PERSONALISED_15_03_04_223,Trade,53943,25660,3324,2
3,Grocery,WOTW_RED_15_03_05_147,Trade,123380,50243,13617,76
3,Grocery,WOW_WHITE_15_03_05_147,Trade,121476,48885,13805,248
3,Clothing,CLO_15_03_07_WMKO,Trade,715246,248889,28954,0
3,Clothing,CLO_15_03_04_WOMEN,Trade,204501,90673,17604,0
3,Clothing,CLO_15_03_04_WELCOME2,Inform,2770,2001,364,0
3,Clothing,CLO_15_03_04_GENERIC,Trade,169010,52285,6647,0
3,Clothing,CLO_15_03_04_KIDS,Trade,155678,55625,9114,0
3,Clothing,CLO_15_03_04_MEN,Trade,37237,16585,2743,0
3,Clothing,CLO_15_03_02_WMKO,Trade,715790,295094,45420,0
3,Clothing,CLO_15_03_01_WELCOME1,Inform,2629,1935,487,0
4,Clothing,CLO_ROI_TRADE_15_04_05,Trade,13974,3740,1981,0
4,Clothing,ABASKET_15_04_02_286,Trade,984,382,84,0
4,Clothing,ABASKET_15_04_04_286,Trade,1154,407,71,0
4,Clothing,ABASKET_15_04_05_286,Trade,1265,541,137,0
4,Clothing,ACQ_DIRECTSHOP_15_04_06_386,Trade,150121,38403,5079,282
4,Clothing,ACQ_INSTORE_15_04_06_382,Trade,268029,58424,9843,159
4,Homeware,ABASKET_15_04_02_902,Trade,619,334,66,0
4,Homeware,ABASKET_15_04_04_902,Trade,698,351,59,62
4,Homeware,ABASKET_15_04_05_902,Trade,885,526,105,0
4,Homeware,BNB_LAP_15_04_01_379,Trade,626,291,100,0
4,Homeware,BNB_LAP_15_04_02_379,Trade,207,98,46,0
4,Homeware,BNB_LAP_15_04_04_379,Trade,502,183,62,0
4,Homeware,BNB_LAP_15_04_05_379,Trade,172,78,29,0
4,Homeware,BNB_TAB_15_04_01_378,Trade,1434,715,245,0
4,Homeware,BNB_TAB_15_04_02_378,Trade,557,283,78,0
4,Homeware,BNB_TAB_15_04_04_378,Trade,984,407,97,8
4,Homeware,BNB_TAB_15_04_05_378,Trade,328,166,41,0
4,Homeware,COOKandDINE_15_04_6_015,Trade,878637,212820,33404,33
4,Homeware,ENTS_15_04_7_043,Trade,10124,2741,682,49
4,Homeware,GARDEN_15_04_06_019,Trade,28432,11098,4699,10
4,Homeware,HOME_15_04_1_015,Trade,503012,94585,18084,0
4,Homeware,HOME_15_04_4_015,Trade,401859,114011,23897,21
4,Homeware,NWL_DIRACT_15_04_4_011,Inform,918433,222604,45856,145
4,Homeware,NWL_FOLLOW_UP_15_04_01_146,Inform,242657,146633,11768,8
4,Homeware,NWL_G123_15_04_05_275,Inform,3388241,1036739,122984,22
4,Homeware,NWL_G123DSbaner_15_04_5_275,Inform,18514,6113,1395,120
4,Homeware,SPORTS_ELEC_15_04_01_013,Trade,6925,2105,376,145
4,Homeware,TOYS_A_15_04_04_016,Trade,77357,23384,10147,167
4,Homeware,TOYS_B_15_04_04_016,Trade,67287,20210,8700,36257
4,Homeware,TOYS_R_15_04_01_016,Trade,16483,2290,199,16764
4,Homeware,TOYS_R_15_04_02_016,Trade,65412,24926,2966,427
4,Grocery,4HR_SLOT_15_4_4_634,Trade,9642,3611,590,12206
4,Grocery,BABY_15_4_1_672,Trade,7307,1791,139,11871
4,Grocery,EASTER_HOL_15_4_5_682,Trade,107428,28414,3180,3091
4,Grocery,FROZEN_15_4_4_682,Trade,325909,126920,15616,28793
4,Grocery,INFQ_500_15_4_1_628,Trade,322602,90961,4762,234
4,Grocery,INFQ_500_R_15_4_2_628,Trade,62598,27829,3000,67
4,Grocery,INFQ_500_RM_15_4_5_628,Trade,137813,43257,2118,87
4,Grocery,INFQ_6OFF_15_4_1_628,Trade,10005,2656,202,81
4,Grocery,INFQ_6OFF_R_15_4_2_628,Trade,1931,749,82,109
4,Grocery,INFQ_6OFF_RM_15_4_5_628,Trade,5541,1640,78,89
4,Grocery,LAPSERS_RM_15_4_2_602,Trade,250078,64318,5744,73
4,Grocery,RNS_RM_15_4_2_603,Trade,277177,108725,14155,41
4,Grocery,SO_15_04_01_WEC_633,Trade,347,115,16,0
4,Grocery,SO_15_04_02_WEC_633,Trade,4974,2490,338,0
4,Grocery,SO_15_04_04_WEC_633,Trade,7675,3153,115,60
4,Grocery,SO_15_04_05_WEC_633,Trade,2437,1055,121,0
4,Grocery,WINE_15_4_4_649,Trade,119839,36478,4520,6
4,Grocery,C_GRY_ATRISK_15_4_1,Inform,135,75,81,213
4,Grocery,C_GRY_DS_BENEFITS_15_4_1,Inform,724,421,68,0
4,Grocery,C_WIN_CRM_FTS_15_04_04,Trade,605,334,55,12920
4,Grocery,C_WIN_CRM_INTRO_15_04_04,Trade,14108,2832,399,5394
4,Grocery,TC_GRY_CRM_SLP_WEC_15_04_05,Trade,35222,7801,420,7204
4,Grocery,TCGRY_CRM_EN2A_15_04_01,Trade,7757,2428,278,586
4,Grocery,TCGRY_CRM_EN2A_15_04_05,Trade,4812,1553,157,23804
4,Grocery,TCGRY_CRM_EN2B_15_04_01,Trade,7724,2258,353,2782
4,Grocery,TCGRY_CRM_EN2B_15_04_05,Trade,4449,1378,226,7737
4,Grocery,TCGRY_CRM_EN3_15_04_01,Trade,6148,2338,240,9218
4,Grocery,TCGRY_CRM_EN3_15_04_05,Trade,6542,2562,258,0
4,Grocery,TCGRY_CRM_RNSA_15_04_01,Trade,6236,1776,172,123
4,Grocery,TCGRY_CRM_RNSA_15_04_05,Trade,9674,2332,190,86
4,Grocery,TCGRY_CRM_RNSB_15_04_01,Trade,6047,1753,184,96
4,Grocery,TCGRY_CRM_RNSB_15_04_05,Trade,8332,2107,207,125
4,Grocery,TRD_MXD_DEALS_15_04_01_083,Trade,259420,97154,33618,26
4,Grocery,WOTW_RED_15_04_05_147,Trade,113793,42627,10778,37
4,Grocery,WOW_WHITE_15_04_05_147,Trade,113175,44031,10733,87
4,Clothing,CLO_15_04_07_WMKO_sunday,Trade,758453,254238,28682,0
4,Clothing,CLO_15_04_04_TREND_KIDS,Trade,198197,48463,5715,0
4,Clothing,CLO_15_04_04_TREND_CHARACTERSHOP,Trade,54936,17376,2718,0
4,Clothing,CLO_15_04_04_TREND_WMA,Trade,258979,91889,13580,0
4,Clothing,CLO_15_04_04_WELCOME2,Inform,3099,2117,383,0
4,Clothing,CLO_15_04_02_GENERIC,Trade,252582,82198,9262,0
4,Clothing,CLO_15_04_02_KIDS,Trade,213173,78535,12337,0
4,Clothing,CLO_15_04_02_MEN,Trade,50453,24060,3672,0
4,Clothing,CLO_15_04_02_WOMEN,Trade,242590,109774,22045,0
4,Clothing,CLO_15_04_01_WELCOME1,Inform,2176,1655,336,0
5,Clothing,CLO_ROI_TRADE_15_05_05,Trade,14037,3585,1341,0
5,Clothing,ABASKET_15_05_01_286,Trade,2284,889,213,0
5,Clothing,ABASKET_15_05_02_286,Trade,1157,407,73,0
5,Clothing,ABASKET_15_05_04_286,Trade,1272,469,99,308
5,Clothing,ACQ_INSTORE_15_05_06_382,Trade,456292,97723,6131,5272
5,Clothing,ACQ_OPN_CLK_15_05_06_385,Trade,637905,259648,52898,1379
5,Homeware,ABASKET_15_05_01_902,Trade,848,425,81,0
5,Homeware,ABASKET_15_05_02_902,Trade,683,396,93,82
5,Homeware,ABASKET_15_05_04_902,Trade,1415,626,83,0
5,Homeware,BNB_LAP_15_05_01_379,Trade,606,281,87,32
5,Homeware,BNB_LAP_15_05_02_379,Trade,224,115,40,0
5,Homeware,BNB_LAP_15_05_04_379,Trade,493,192,52,0
5,Homeware,BNB_TAB_15_05_01_378,Trade,1544,690,190,0
5,Homeware,BNB_TAB_15_05_02_378,Trade,576,265,48,48
5,Homeware,BNB_TAB_15_05_04_378,Trade,848,319,81,0
5,Homeware,Furniture_A_15_05_02_018,Trade,62408,20800,5656,57
5,Homeware,Furniture_B_15_05_02_018,Trade,62050,20398,5587,66
5,Homeware,GARDEN_R_15_05_07_019,Trade,3721,662,184,34
5,Homeware,HOME_ELEC_15_05_01_013,Trade,144851,25314,3638,186
5,Homeware,NWL_DIRACT_15_05_4_011,Inform,1242079,306114,50092,64
5,Homeware,NWL_FOLLOW_UP_15_05_01_146,Inform,375481,210144,29640,32
5,Homeware,NWL_G123_15_05_4_275,Inform,2936831,906796,81728,54
5,Homeware,TOYS_15_05_06_016,Trade,197525,56035,19817,68827
5,Grocery,AMND_NEXT_D_15_05_04_633,Trade,6684,2596,233,266
5,Grocery,AMND_SAME_D_15_05_04_633,Trade,160,64,7,0
5,Grocery,BS_15_05_02_901,Trade,4895,1875,78,13194
5,Grocery,BS_15_05_04_901,Trade,7071,2293,91,0
5,Grocery,CCB_ST_SPEND_15_5_1_670,Trade,82674,40775,5850,9736
5,Grocery,EASTER_LUNCH_15_5_2_682,Trade,322647,105151,18427,21569
5,Grocery,FROZEN_R_15_5_1_682,Trade,183946,55028,8213,5521
5,Grocery,INFQ_6OFF_RM_R_15_4_5_628,Trade,1108,111,4,0
5,Grocery,PET_EMAIL_15_05_6_680,Trade,81877,23115,1518,324
5,Grocery,RF_SOULS_ACT_15_05_2_624,Trade,222606,78778,9810,306
5,Grocery,RNS_RM_RM_15_5_4_603,Trade,245687,81985,12156,63
5,Grocery,SAME_DAY_COL_15_5_1_634,Trade,5367,1205,28,26
5,Grocery,SO_15_05_01_WEC_633,Trade,826,328,42,0
5,Grocery,SO_15_05_02_WEC_633,Trade,3723,1872,241,0
5,Grocery,SO_15_05_04_WEC_633,Trade,4889,2040,177,2
5,Grocery,TODDLER_15_05_05_675,Trade,43674,11768,894,136
5,Grocery,C_GRY_ATRISK_15_5_1,Inform,226,140,126,114
5,Grocery,C_GRY_ATRISK_15_5_5,Inform,204,136,140,13572
5,Grocery,C_GRY_DS_ANNIV_15_05_06,Inform,5805,4196,1650,134
5,Grocery,C_GRY_DS_BENEFITS_15_5_1,Inform,1045,614,85,3358
5,Grocery,C_GRY_DS_BENEFITS_15_5_5,Inform,993,606,111,0
5,Grocery,C_WIN_CRM_FTS_15_05_04,Trade,599,331,66,6044
5,Grocery,C_WIN_CRM_INTRO_15_05_04,Trade,14069,2806,435,344
5,Grocery,TCGRY_CRM_EN2A_15_05_02,Trade,4585,1670,153,251
5,Grocery,TCGRY_CRM_EN2B_15_05_02,Trade,7012,2023,287,214
5,Grocery,TCGRY_CRM_EN3_15_05_02,Trade,6308,2591,236,6135
5,Grocery,TCGRY_CRM_RNSA_15_05_02,Trade,8202,2299,234,6134
5,Grocery,TCGRY_CRM_RNSB_15_05_02,Trade,6067,1668,167,15684
5,Grocery,TRD_SPRG_25OFF_15_05_01_083,Trade,282403,96779,34126,2164
5,Grocery,WOTW_RED_15_05_04_147,Trade,137829,47815,10537,284
5,Grocery,WOW_WHITE_15_05_04_147,Trade,137135,45776,8960,78
5,Clothing,CLO_15_05_07_MWKO,Trade,695283,262837,22499,0
5,Clothing,CLO_15_05_04_TREND,Trade,592141,227803,19610,0
5,Clothing,CLO_15_05_04_WELCOME2,Inform,2935,1991,275,0
5,Clothing,CLO_15_05_02_GENERIC,Trade,225731,77020,5305,0
5,Clothing,CLO_15_05_02_KIDS,Trade,196135,69427,8194,0
5,Clothing,CLO_15_05_02_MEN,Trade,47150,21773,1992,0
5,Clothing,CLO_15_05_02_WOMEN,Trade,226655,103761,15884,0
5,Clothing,CLO_15_05_01_WELCOME1,Inform,2164,1518,212,0
6,Clothing,CLO_ROI_ACQ_15_06_05,Trade,37477,10399,2405,0
6,Clothing,CLO_ROI_TRADE_15_06_05,Trade,14127,3477,1240,0
6,Clothing,ABASKET_15_06_02_286,Trade,1148,458,76,0
6,Clothing,ABASKET_15_06_04_286,Trade,1294,447,96,0
6,Clothing,ABASKET_15_06_05_286,Trade,1127,467,86,0
6,Clothing,ACQ_3XOPN_15_06_06_385,Trade,551375,328847,31496,30348
6,Clothing,ACQ_RNS_15_06_06_388,Trade,30076,5471,1146,2841
6,Clothing,CTL_TEST1_15_06_05_389,Trade,6686,3091,434,209
6,Homeware,ABASKET_15_06_02_902,Trade,1645,791,111,0
6,Homeware,ABASKET_15_06_04_902,Trade,1322,598,106,13197
6,Homeware,ABASKET_15_06_05_902,Trade,1046,542,95,0
6,Homeware,BNB_LAP_15_06_02_379,Trade,309,133,41,0
6,Homeware,BNB_LAP_15_06_04_379,Trade,468,185,70,8766
6,Homeware,BNB_LAP_15_06_05_379,Trade,153,84,39,0
6,Homeware,BNB_TAB_15_06_02_378,Trade,595,268,76,0
6,Homeware,BNB_TAB_15_06_04_378,Trade,870,368,97,0
6,Homeware,BNB_TAB_15_06_05_378,Trade,256,137,38,0
6,Homeware,ENTS_15_06_02_043,Trade,54502,11956,1566,217
6,Homeware,Ents_Games_15_06_04_039,Trade,35292,8260,850,333
6,Homeware,NWL_DIRACT_15_06_4_011,Inform,897342,201072,29062,408
6,Homeware,NWL_FOLLOW_UP_15_06_02_146,Inform,258147,151119,15975,263
6,Homeware,NWL_G123_15_06_5_275,Inform,2894240,898737,92937,46
6,Homeware,PartyDelights_15_06_02_387,Trade,104248,27512,2783,24
6,Homeware,TABLETS_15_06_04_013,Trade,502621,118114,11755,23
6,Grocery,BABY_15_6_4_672,Trade,36928,10210,1069,10
6,Grocery,BS_15_06_02_901,Trade,285,86,8,0
6,Grocery,BS_15_06_04_901,Trade,11053,3658,166,12
